Symbol,Name,Sector
AAPL,Apple Inc.,Information Technology
ABBV,AbbVie Inc.,Health Care
ABT,Abbott Laboratories,Health Care
ACN,Accenture,Information Technology
ADBE,Adobe Inc.,Information Technology
AIG,American International Group,Financials
AMGN,Amgen Inc.,Health Care
AMT,American Tower,Real Estate
AMZN,Amazon.com,Consumer Discretionary
AVGO,Broadcom Inc.,Information Technology
AXP,American Express,Financials
BA,Boeing Co.,Industrials
BAC,Bank of America Corp,Financials
BIIB,Biogen,Health Care
BK,The Bank of New York Mellon,Financials
BKNG,Booking Holdings,Consumer Discretionary
BLK,BlackRock Inc,Financials
BMY,Bristol-Myers Squibb,Health Care
C,Citigroup Inc,Financials
CAT,Caterpillar Inc.,Industrials
CHTR,Charter Communications,Communication Services
CL,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast Corp.,Communication Services
COF,Capital One Financial Corp.,Financials
COP,ConocoPhillips,Energy
COST,Costco Wholesale Corp.,Consumer Staples
CRM,Salesforce,Information Technology
CSCO,Cisco Systems,Information Technology
CVS,CVS Health,Health Care
CVX,Chevron Corporation,Energy
DD,DuPont de Nemours Inc,Materials
DHR,Danaher Corporation,Health Care
DIS,The Walt Disney Company,Communication Services
DOW,Dow Inc.,Materials
DUK,Duke Energy,Utilities
EMR,Emerson Electric Co.,Industrials
EXC,Exelon,Utilities
F,Ford Motor Company,Consumer Discretionary
FB,"Facebook, Inc.",Communication Services
FDX,FedEx,Industrials
GD,General Dynamics,Industrials
GE,General Electric,Industrials
GILD,Gilead Sciences,Health Care
GM,General Motors,Consumer Discretionary
GOOG,Alphabet Inc. (Class C),Communication Services
GOOGL,Alphabet Inc. (Class A),Communication Services
GS,Goldman Sachs,Financials
HD,The Home Depot,Consumer Discretionary
HON,Honeywell,Industrials
IBM,International Business Machines,Information Technology
